ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_495600,NA,NA,NA,NA,NA
adrb2_495800,NA,NA,NA,NA,NA
adrb2_496000,NA,NA,NA,NA,NA
adrb2_496200,NA,NA,NA,NA,NA
adrb2_496400,3,6,32,(66),Y
adrb2_496600,NA,NA,NA,NA,NA
adrb2_496800,NA,NA,NA,NA,NA
adrb2_497000,NA,NA,NA,NA,NA
adrb2_497200,NA,NA,NA,NA,NA
adrb2_497400,NA,NA,NA,NA,NA
adrb2_497600,NA,NA,NA,NA,NA
adrb2_497800,NA,NA,NA,NA,NA
adrb2_498000,NA,NA,NA,NA,NA
adrb2_498200,NA,NA,NA,NA,NA
adrb2_498400,NA,NA,NA,NA,NA
adrb2_498600,NA,NA,NA,NA,NA
adrb2_498800,NA,NA,NA,NA,NA
adrb2_499000,NA,NA,NA,NA,NA
adrb2_499200,NA,NA,NA,NA,NA
adrb2_499400,NA,NA,NA,NA,NA
adrb2_499600,3,5,(40),(70),Y
adrb2_499800,NA,NA,NA,NA,NA
adrb2_500000,NA,NA,NA,NA,NA
adrb2_500200,NA,NA,NA,NA,NA
adrb2_500400,NA,NA,NA,NA,NA
adrb2_500600,NA,NA,NA,NA,NA
adrb2_500800,NA,NA,NA,NA,NA
adrb2_501000,NA,NA,NA,NA,NA
adrb2_501200,NA,NA,NA,NA,NA
adrb2_501400,NA,NA,NA,NA,NA
adrb2_501600,NA,NA,NA,NA,NA
adrb2_501800,NA,NA,NA,NA,NA
adrb2_502000,NA,NA,NA,NA,NA
adrb2_502200,NA,NA,NA,NA,NA
adrb2_502400,NA,NA,NA,NA,NA
adrb2_502600,NA,NA,NA,NA,NA
adrb2_502800,NA,NA,NA,NA,NA
adrb2_503000,NA,NA,NA,NA,NA
adrb2_503200,NA,NA,NA,NA,NA
adrb2_503400,NA,NA,NA,NA,NA
adrb2_503600,NA,NA,NA,NA,NA
adrb2_503800,2,4,(35),(69),Y
adrb2_504000,NA,NA,NA,NA,NA
adrb2_504200,NA,NA,NA,NA,NA
adrb2_504400,NA,NA,NA,NA,NA
adrb2_504600,NA,NA,NA,NA,NA
adrb2_504800,NA,NA,NA,NA,NA
adrb2_505000,NA,NA,NA,NA,NA
adrb2_505200,NA,NA,NA,NA,NA
adrb2_505400,NA,NA,NA,NA,NA
adrb2_505600,NA,NA,NA,NA,NA
adrb2_505800,NA,NA,NA,NA,NA
adrb2_506000,0,1,32,(79),Y
adrb2_506200,NA,NA,NA,NA,NA
adrb2_506400,NA,NA,NA,NA,NA
adrb2_506600,NA,NA,NA,NA,NA
adrb2_506800,NA,NA,NA,NA,NA
adrb2_507000,NA,NA,NA,NA,NA
adrb2_507200,NA,NA,NA,NA,NA
adrb2_507400,NA,NA,NA,NA,NA
adrb2_507600,NA,NA,NA,NA,NA
adrb2_507800,NA,NA,NA,NA,NA
